#	DMR_Hosts.txt
#
#	Edited for non-commercial use by Amirrul Iman (JZ09AGV/YD0BDG)
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#	Origional idea from Adrian Craig (M0GLJ)
#
#	Updated 21-Nov-2022
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. NO SPACES!!
#
#	Downloaded from http://www.pistar.uk/downloads/DMR_Hosts.txt
#
######################################################################################################
#
#				DMRGateway / Internal Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMRGateway			0000	127.0.0.1				none		62031
DMR2YSF				0000	127.0.0.2				none		62033
DMR2NXDN			0000	127.0.0.3				none		62035
######################################################################################################
#
#				BrandMeister Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
BM_4501_South_Korea		4501	4501.master.brandmeister.network	passw0rd	62031
BM_4601_China			4601	4601.master.brandmeister.network	passw0rd	62031
BM_5021_Malaysia		5021	5021.master.brandmeister.network	passw0rd	62031
BM_5051_Australia		5051	5051.master.brandmeister.network	passw0rd	62031
BM_5151_Philippines		5151	5151.master.brandmeister.network	passw0rd	62031
######################################################################################################
#
#				DMR+ DVS IPSC2 Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMR+_IPSC2-DVSPh-A		362823	161.97.181.32				PASSWORD	55555
DMR+_IPSC2-DVSPh-F		322752	78.129.135.43				PASSWORD	55555
DMR+_IPSC2-DVSPh-K		223341	78.129.135.36				PASSWORD	55555
######################################################################################################
#
#				DMR+ IPSC2 Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMR+_IPSC2-Australia		182702	43.245.72.66				PASSWORD	55555
DMR+_IPSC2-Australia-DMO	177333	43.245.72.67				PASSWORD	55555
######################################################################################################
#
#				HBLink/FreeDMR Komunikasi Radio Antar Penduduk
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
HB_DMRID1 		        0000	103.187.147.208				passw0rd	62030
HB_DMRID2 		        0000	103.172.204.165				passw0rd	62031
KRAP_DMR		        0000	103.174.114.231      			 passw0rd	62030
######################################################################################################
